"sessionCode","title","topic","format","level","Products","SpeakerNames","SpeakerCompanies","Description"
"BRK1096","Future Generations: It Takes a Village: Nonprofit + Community Partners","Diversity and Inclusion","Diversity and Inclusion","Foundational (100)","Not Product Specific
","Chantale Ninah
Rachael Sera
Jeffron Smalls
Amy Cliett
Trisha McDonald
Fatou N'diaye
Ouafa Benterki
Emmie Louis
","Microsoft
University of Central Florida
HBCU Travelers
TechGirlz/Women in Tech Summit, Creating IT Futures
Microsoft
The Great Village
MTY Intelligent Software
Black Girls Code
","future generations: it takes a village: nonprofit + community partners"
"THR2120","Deploy an app in Azure Kubernetes and App Services with MySQL","Data","Session","Intermediate (200)","Azure	Databases
Azure
","Manish Kumar
","Microsoft Corp.
","deploy an app in azure kubernetes and app services with mysql"
"THR2123","Why enterprises are moving from Oracle to Azure Postgres","Data","Session","Intermediate (200)","Azure	Databases
Azure
","Saurabh Modi
","Microsoft
","why enterprises are moving from oracle to azure postgres"
"THR2124","Running Postgres at scale on-premises and in the cloud","Data","Session","Intermediate (200)","Azure	Databases
Azure
","Lukas Fittl
","Microsoft
","running postgres at scale on-premises and in the cloud"
"THR1124","Everywhere, yet still out of reach: How improving access to technology strengthens social capital and drives your bottom line","Diversity and Inclusion","Diversity and Inclusion","Foundational (100)","Not Product Specific
","Keiloni Mitchell
","Microsoft
","everywhere, yet still out of reach: how improving access to technology strengthens social capital and drives your bottom line"
"THR2130","Raising Visibility and Trust in Apps on Teams","Productivity","Session","Intermediate (200)","Microsoft 365	Meetings and Voice
Microsoft 365
","Bill Bliss
","Microsoft
","raising visibility and trust in apps on teams"
"UNC1049","Balancing family and career: Can you have it all?","Diversity and Inclusion","Diversity and Inclusion","Foundational (100)","Not Product Specific
","Anne Michels
Phoummala Schmitt
Mark Rackley
Stephanie Donahue
Paul Warren
Eric Overfield
Angela Donohue
","Microsoft
Microsoft
PAIT Group
PAIT Group
Deptive
PixelMill Inc
Microsoft
","balancing family and career: can you have it all?"
"WRK2008","Running WordPress applications on Azure App Service","Development","Hands-on Lab","Intermediate (200)","Azure	Web
Azure
","Byron Tardif
Sisira Panchagnula
","Microsoft
Microsoft
","running wordpress applications on azure app service"
"THR1098R","Learn how to navigate and leverage Microsoft AppSource to extend Microsoft Dynamics 365 and Microsoft 365 (Repeat)","Management","Session","Foundational (100)","Dynamics 365	Finance and Operations
Dynamics 365
Dynamics 365	Field Service
Dynamics 365	Customer Engagement
Dynamics 365	Business Central
Dynamics 365	Talent
Dynamics 365	Project Service Automation
Dynamics 365	Supply Chain Management
Dynamics 365	Product Visualize
Dynamics 365	Customer Service Insights
Dynamics 365	Customer Insights
Dynamics 365	Virtual Agent for Customer Service
Dynamics 365	Sales Insights
Dynamics 365	Market Insights
Dynamics 365	Fraud Protection
Dynamics 365	Remote Assist
Dynamics 365	Guides
Dynamics 365	Portals
Dynamics 365	Layout
Dynamics 365	Sales
Dynamics 365	Marketing
Dynamics 365	Customer Service
Dynamics 365	Retail and Commerce
","Kelley Roshka
Felipe Ospina
","Microsoft
Microsoft
","learn how to navigate and leverage microsoft appsource to extend microsoft dynamics 365 and microsoft 365 (repeat)"
"THR3112","Integrated support for Linux on Azure workloads overview","Infrastructure","Session","Advanced (300)","Azure	Migration
Azure
","Abirami Iyer
","Microsoft
","integrated support for linux on azure workloads overview"
"WRK4000","Build solutions powered by real-time analytics using Azure Stream Analytics and Azure Data Explorer","Data","Hands-on Session","Expert (400)","Azure	Databases
Azure
","Siddarth Ramadoss
Tzvia Gitlin Troyna
","Microsoft
Microsoft
","build solutions powered by real-time analytics using azure stream analytics and azure data explorer"
"THR1083","Share big data easily and securely with other organizations leveraging Azure Data Share","Data","Session","Foundational (100)","Azure	Databases
Azure
","Jie Feng
","Microsoft
","share big data easily and securely with other organizations leveraging azure data share"
"THR2151","Azure encryption and key management for enterprise scale","Infrastructure","Session","Intermediate (200)","Azure	Security
Azure
","Jack Richins
","Microsoft
","azure encryption and key management for enterprise scale"
"THR2218","Extend and connect hybrid landscapes with the power of SAP Cloud Platform","Infrastructure","Session","Intermediate (200)","Azure	Compute
Azure
","Matthew Otto
","SAP
","extend and connect hybrid landscapes with the power of sap cloud platform"
"THR3129","Unlocking AI insights from your video using Video Indexer","Development","Session","Advanced (300)","","Anika Zaman
","Microsoft/Video Indexer
","unlocking ai insights from your video using video indexer"
"THR2168","Lifecycle of a Java app from initial deployment to running in production using Terraform and Ansible","Development","Session","Intermediate (200)","Tooling & Languages	Other
Tooling & Languages
","Pui Chee Chan
Mark Gray
","Microsoft Corp.
Microsoft
","lifecycle of a java app from initial deployment to running in production using terraform and ansible"
"BRK3327","Azure Arc: Extend Management and Governance to any Infrastructure","Infrastructure","Session","Advanced (300)","Azure	Management and Governance
Azure
","Jian Yan
Chris Sanders
","Microsoft
Microsoft
","azure arc: extend management and governance to any infrastructure"
"THR1106","Updated Developer experience for Finance and Operations","Fundamentals","Session","Foundational (100)","Dynamics 365	Finance and Operations
Dynamics 365
","Joris de Gruyter
","Microsoft
","updated developer experience for finance and operations"
"BRK3270","Experimentation for personalized engagement","Fundamentals","Session","Advanced (300)","Dynamics 365	Marketing
Dynamics 365
","Shailesh Jain
Preeti Rana
","Microsoft
Microsoft
","experimentation for personalized engagement"
"THR2162","Get more from your data with cognitive search and Microsoft Azure","Infrastructure","Customer Showcase","Intermediate (200)","","Jamie Burgess
Craig Susen
","Microsoft
Unify Consulting
","get more from your data with cognitive search and microsoft azure"
"WRK3034","A day in the life of a Microsoft Teams admin","Productivity","Hands-on Labs","Advanced (300)","Microsoft 365	Applications
Microsoft 365
Microsoft 365	Files and Content
Microsoft 365	Meetings and Voice
","Connie Welsh
Nick Elniff
","Microsoft
Microsoft
","a day in the life of a microsoft teams admin"
"WRK3034R4","A day in the life of a Microsoft Teams admin (Repeat)","Productivity","Hands-on Lab","Advanced (300)","Microsoft 365	Applications
Microsoft 365
Microsoft 365	Files and Content
Microsoft 365	Meetings and Voice
","Jeff Beckham
","Microsoft
","a day in the life of a microsoft teams admin (repeat)"
"THR2230","StorSimple end of support: What you need to know","Infrastructure","Session","Intermediate (200)","Azure	Microsoft Azure Stack
Azure
","STEVEN GODDARD
","Microsoft Corporation
","storsimple end of support: what you need to know"
"THR1085","Get the help you need with Azure support plans","Management","Session","Foundational (100)","","Sharon Loh
","Microsoft
","get the help you need with azure support plans"
"WRK1004","Hands-on with Microsoft Power Apps and Azure","Fundamentals","Hands-on Session","Foundational (100)","Power Platform	PowerApps
Power Platform
Azure	Web
Azure
","Pratap Ladhani
","Microsoft
","hands-on with microsoft power apps and azure"
"WRK1012","Microsoft Power Automate: Automate your legacy applications with RPA (Robotic Process Automation).","Fundamentals","Hands-on Session","Foundational (100)","Power Platform	Microsoft Flow
Power Platform
","John Dundon
Quentin Sele Barancy
Lan Li
","Microsoft
Microsoft
Microsoft
","microsoft power automate: automate your legacy applications with rpa (robotic process automation)."
"THR2181","Get the most out of Microsoft Azure with Azure Advisor","Management","Session","Intermediate (200)","","Saket Gupta
Dante Rasera
","Microsoft
Microsoft
","get the most out of microsoft azure with azure advisor"
"THR1107","Propelling your career with Microsoft Azure and Pluralsight","Thought Leadership","Partner Led Session","Foundational (100)","Azure	Databases
Azure
Azure	Security
","Michael Bender
","Pluralsight
","propelling your career with microsoft azure and pluralsight"
"WRK3027R","Meeting security and governance requirements with Microsoft Teams (Repeat)","Compliance","Hands-on Lab","Advanced (300)","Microsoft 365	Applications
Microsoft 365
Microsoft 365	Files and Content
Microsoft 365	Information Protection
Microsoft 365	Meetings and Voice
Microsoft 365	Security Management
","Jeff Beckham
Chris L'Hommedieu
","Microsoft
Microsoft
","meeting security and governance requirements with microsoft teams (repeat)"
"THR3158","BEC: The inner-workings of West African cybercriminal gangs","Identity","Partner Led Session","Advanced (300)","Microsoft 365	Threat Protection
Microsoft 365
Azure	Identity
Azure
Microsoft 365	Email and Calendar
","Crane Hassold
","Agari
","bec: the inner-workings of west african cybercriminal gangs"
"WRK1006","Connected Field Service and IoT Central","Fundamentals","Hands-on Session","Foundational (100)","Dynamics 365	Field Service
Dynamics 365
","Derik Bormann
","Myrium Technology Solutions
","connected field service and iot central"
"WRK3029R3","Secure and manage your identities with Azure Active Directory (Repeat)","Security","Hands-on Lab","Advanced (300)","Microsoft 365	Identity and Access Management
Microsoft 365
","Adam Harbour
","Microsoft
","secure and manage your identities with azure active directory (repeat)"
"WRK3029R4","Secure and manage your identities with Azure Active Directory (Repeat)","Security","Hands-on Lab","Advanced (300)","Microsoft 365	Identity and Access Management
Microsoft 365
","Adam Harbour
","Microsoft
","secure and manage your identities with azure active directory (repeat)"
"THR3139","Identifying and remediating critical insider risks and policy violations","Compliance","","Advanced (300)","","Talhah Mir
Christophe Fiessinger
","Microsoft
Microsoft
","identifying and remediating critical insider risks and policy violations"
"THR2226","On-premises to Azure in three steps","Management","Partner Led Session","Intermediate (200)","Azure	Management and Governance
Azure
Azure	Migration
","Steve Blow
","Zerto
","on-premises to azure in three steps"
"THR1104","Keep it reel with Microsoft’s phishing team","How Microsoft transforms IT internally","Session","Foundational (100)","","Homa Hayatyfar
Blythe Price
","Microsoft/DSRE
Microsoft
","keep it reel with microsoft’s phishing team"
"THR2253","Help your users find content and information they need using SharePoint and Microsoft Search","How Microsoft transforms IT internally","Session","Intermediate (200)","Microsoft 365	Social and Intranet
Microsoft 365
","Sam Crewdson
","Microsoft
","help your users find content and information they need using sharepoint and microsoft search"
"THR2265","Brad Anderson presents unifying device management and taking it to the next level","Management","Session","Intermediate (200)","Microsoft 365	Device and Application Management
Microsoft 365
","Jeremy Chapman
Brad Anderson
","Microsoft
Microsoft Corporation
","brad anderson presents unifying device management and taking it to the next level"
"THR2266","The three things you wish you knew about, when moving to the cloud","Infrastructure","Session","Intermediate (200)","Azure	Compute
Azure
","Erin Chapple
Matt McSpirit
","Microsoft Corporation
Microsoft
","the three things you wish you knew about, when moving to the cloud"
"BRK1091","From order takers to innovators: IT of the future","Thought Leadership","Session","Foundational (100)","","John Jendrezak
","Microsoft Corporation
","from order takers to innovators: it of the future"
"THR2284","Jeffrey Snover goes inside Microsoft 365 internals with the Microsoft Graph and substrate","Management","Session","Intermediate (200)","Not Product Specific
","Jeffrey Snover
Jeremy Chapman
","Microsoft
Microsoft
","jeffrey snover goes inside microsoft 365 internals with the microsoft graph and substrate"
"THR2286","Networking and hybrid connectivity in Azure and beyond with CVP Yousef Khalidi","Infrastructure","Session","Intermediate (200)","Azure	Networking
Azure
","Yousef Khalidi
Matt McSpirit
","
Microsoft
","networking and hybrid connectivity in azure and beyond with cvp yousef khalidi"
"THR1116","Cyber AI in action: Real-world threat stories and live demo","Security","Partner Led Session","Foundational (100)","Azure	AI + Machine Learning
Azure
Azure	Internet of Things
Azure	Security
Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","Nabil Zoldjalali
","Darktrace
","cyber ai in action: real-world threat stories and live demo"
"THR3147","Secure architecting (for Azure) 2.0: CSPM with ML and predictive analytics ","Security","Partner Led Session","Advanced (300)","Azure
Azure	Databases
Azure	Compute
Azure	AI + Machine Learning
Azure	Management and Governance
Azure	Integration
Azure	Internet of Things
Azure	DevOps 
Azure	Developer Tools
Azure	Containers
Azure	Media
Azure	Blockchain
Azure	Analytics
Azure	Identity
Azure	Mobile
Azure	Migration
Azure	Mixed Reality
Azure	Security
Azure	Web
Azure	Storage
Azure	Networking
Azure	Microsoft Azure Stack
","Jorn Lutters
","Sophos Inc.
","secure architecting (for azure) 2.0: cspm with ml and predictive analytics"
"THR2307","Supercharge your desktop app DevOps pipeline with Azure DevOps and App Center","Development","Session","Intermediate (200)","","Winnie Li
Daniel Jacobson
","Microsoft
Microsoft
","supercharge your desktop app devops pipeline with azure devops and app center"
"THR2310","Customizing Visual Studio to be more productive","Development","Session","Intermediate (200)","Tooling & Languages	Visual Studio
Tooling & Languages
","Misty Hays
","Microsoft/DevDiv
","customizing visual studio to be more productive"
"THR2320","Craft stunning mobile apps with the Xamarin Visual design system","Development","Session","Intermediate (200)","Tooling & Languages	Xamarin
Tooling & Languages
","David Ortinau
","MIcrosoft
","craft stunning mobile apps with the xamarin visual design system"
"THR2298","Data collection at scale powered by Adobe Sign web forms integration in SharePoint","Productivity","Partner Led Session","Intermediate (200)","Power Platform	PowerApps
Power Platform
Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Task Management
Power Platform	Microsoft Flow
Microsoft 365	Applications
","Hien Nguyen
","Adobe
","data collection at scale powered by adobe sign web forms integration in sharepoint"
"THR3151","#CYaaS and STOP Ransomware! Make Your Microsoft-Powered Multi-Cloud Strategy Bulletproof","Compliance","Partner Led Session","Advanced (300)","Azure	AI + Machine Learning
Azure
Azure	Media
Azure	Databases
Azure	Integration
Azure	DevOps 
Azure	Analytics
Azure	Internet of Things
Azure	Compute
Azure	Containers
Azure	Identity
Azure	Blockchain
Azure	Management and Governance
Azure	Developer Tools
Azure	Migration
Azure	Security
Azure	Web
Azure	Mobile
Azure	Microsoft Azure Stack
Azure	Storage
Azure	Mixed Reality
Azure	Networking
","Jonathan Brown
","Veritas Technologies LLC
","#cyaas and stop ransomware! make your microsoft-powered multi-cloud strategy bulletproof"
"BRK3288","Define the guardrails for success with Azure Blueprints","Management","Session","Advanced (300)","Azure	Management and Governance
Azure
","Rhett Krulla
","Microsoft
","define the guardrails for success with azure blueprints"
"BRK3296R","Power Platform management: Tips and tools to start your rollout (Repeat)","Management","Session","Advanced (300)","Power Platform	PowerApps
Power Platform
","James Stento
","Microsoft
","power platform management: tips and tools to start your rollout (repeat)"
"BRK2276","Authorize and automate Teams guest access with surgical precision (Part 1)","Security","Session","Intermediate (200)","Microsoft 365	Identity and Access Management
Microsoft 365
","Michael Mukalian
","Microsoft
","authorize and automate teams guest access with surgical precision (part 1)"
"BRK2277","Authorize and automate Teams guest access with surgical precision (Part 2)","Security","Session","Intermediate (200)","Microsoft 365	Identity and Access Management
Microsoft 365
","Michael Mukalian
","Microsoft
","authorize and automate teams guest access with surgical precision (part 2)"
"HOL2033","Build your first solution on the Microsoft Teams platform","Productivity","Hands-on Labs","Intermediate (200)","Microsoft 365	Applications
Microsoft 365
","","","build your first solution on the microsoft teams platform"
"BRK3308R","Intelligent collaboration across Microsoft 365: Roundtable topics (Repeat)","Intelligence","Hands-on Session","Advanced (300)","Microsoft 365	Applications
Microsoft 365
","Sheila Anderson
Cuong Pham
David Huang
Joe McDaid
Zhang Li
Nina Williams
Sammy Chiu
Theo Lorrain-Hale
Shiva Naidu
Vishal Mathur
Kyle von Haden
Catherine Pidgeon
","Microsoft
Microsoft
Microsoft
Microsoft Excel
Microsoft
Microsoft
Microsoft
Microsoft
Microsoft
Microsoft
Microsoft
Microsoft
","intelligent collaboration across microsoft 365: roundtable topics (repeat)"
"BRK3307R","Developing on the Microsoft 365 platform: Roundtable topics (Repeat)","Productivity","Hands-on Session","Advanced (300)","Microsoft 365	Operating System 
Microsoft 365
","John Westworth
Filip Nicolaisen
Jenny Cook
Darrel Miller
Nikola Metulev
Kevin Bellinger
Arnaud Montembault
Ryan Demopoulos
Juan Balmori Labra
","microsoft
Microsoft Development Center Norway
Microsoft
Microsoft
Microsoft
Microsoft Corporation
Microsoft
Microsoft
Microsoft
","developing on the microsoft 365 platform: roundtable topics (repeat)"
"BRK3310R","Microsoft Teams: Roundtable topics (Repeat)","Productivity","Hands-on Session","Advanced (300)","Microsoft 365	Meetings and Voice
Microsoft 365
","Kent Lowry
Pete Daderko
Zakiullah Khan Mohammed
Kaushal Mehta
Karuana Gatimu
Tosin Bosede
David Groom
","Microsoft
Microsoft
Microsoft
Microsoft Corp
Microsoft Teams Engineering
Microsoft Corporation
Microsoft
","microsoft teams: roundtable topics (repeat)"
"BRK2366","How to extend Dynamics 365 Commerce","Development","Session","Intermediate (200)","Dynamics 365	Retail and Commerce
Dynamics 365
","Sam Jarawan
","Microsoft Corp.
","how to extend dynamics 365 commerce"
"BRK2364","AI driven recommendations and discovery in Dynamics 365 Commerce","Fundamentals","Session","Intermediate (200)","Dynamics 365	Retail and Commerce
Dynamics 365
","Boris Sokolov
","Microsoft
","ai driven recommendations and discovery in dynamics 365 commerce"
"BRK2368","Safeguard your digital commerce with Dynamics 365 Fraud Protection","Fundamentals","Session","Intermediate (200)","Dynamics 365	Fraud Protection
Dynamics 365
","Anand Oka
Jay Nanduri
","Microsoft
Microsoft
","safeguard your digital commerce with dynamics 365 fraud protection"
"BRK2371","Radically reduce your security and compliance workload","Security","Partner Led Session","Intermediate (200)","Azure	Security
Azure
Azure	Migration
Azure	Networking
","Chaz Spahn
Josef Wahby-Brehmer
","Adaptiva
Accenture Technology Solutions GmbH
","radically reduce your security and compliance workload"
"THR2353","SecOps Quiz Show: Test your endpoint health and security knowledge","Security","Partner Led Session","Intermediate (200)","Azure	Security
Azure
Azure	Networking
Microsoft 365	Security Management
Microsoft 365
","Chaz Spahn
","Adaptiva
","secops quiz show: test your endpoint health and security knowledge"
"THR1138","Out of the sandbox and into the Circuit Playground","Development","Session","Foundational (100)","Tooling & Languages	Visual Studio
Tooling & Languages
Tooling & Languages	Other
","Brian Clark
","Microsoft
","out of the sandbox and into the circuit playground"
"THR2362R","The top three questions customers ask about hybrid cloud adoption (Extended Session)","Deployment","Partner Led Session","Intermediate (200)","Azure
Azure	AI + Machine Learning
Azure	Analytics
Azure	Blockchain
Azure	Compute
Azure	Containers
Azure	Databases
Azure	Developer Tools
Azure	DevOps 
Azure	Identity
Azure	Integration
Azure	Internet of Things
Azure	Management and Governance
Azure	Media
Azure	Microsoft Azure Stack
Azure	Migration
Azure	Mixed Reality
Azure	Mobile
Azure	Networking
Azure	Security
Azure	Storage
Azure	Web
","Anthony Delli Colli
","HPE
","the top three questions customers ask about hybrid cloud adoption (extended session)"
"WRK2015R2","Teamwork Immersion Workshop by Phoenix UK.","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by phoenix uk."
"WRK2017R","Teamwork Immersion Workshop by Vitalyst.","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by vitalyst."
"WRK2019R2","Security Immersion Workshop by Synergy Technical","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by synergy technical"
"WRK2023","Security Immersion Workshop by Softchoice","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by softchoice"
"WRK2024R4","Compliance Immersion Workshop by Valorem","Compliance","Hands-On Learning","Intermediate (200)","Microsoft 365	Advanced Compliance
Microsoft 365
","","","compliance immersion workshop by valorem"
"WRK2025R5","Compliance Immersion Workshop by Microsoft","Compliance","Hands-On Learning","Intermediate (200)","Microsoft 365	Advanced Compliance
Microsoft 365
","","","compliance immersion workshop by microsoft"
"WRK2024R7","Compliance Immersion Workshop by Valorem","Compliance","Hands-On Learning","Intermediate (200)","Microsoft 365	Advanced Compliance
Microsoft 365
","","","compliance immersion workshop by valorem"
"WRK2025R6","Compliance Immersion Workshop by Microsoft","Compliance","Hands-On Learning","Intermediate (200)","Microsoft 365	Advanced Compliance
Microsoft 365
","","","compliance immersion workshop by microsoft"
"WRK2019R11","Security Immersion Workshop by Synergy Technical","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by synergy technical"
"WRK2019R13","Security Immersion Workshop by Synergy Technical","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by synergy technical"
"WRK2026R3","Security Immersion Workshop by Microsoft","Security","Hands-On Learning","Intermediate (200)","Microsoft 365	Security Management
Microsoft 365
Microsoft 365	Threat Protection
","","","security immersion workshop by microsoft"
"WRK2028R8","Teamwork Immersion Workshop by Catapult","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by catapult"
"WRK2030R","Teamwork Immersion Workshop by Softchoice","Productivity","Hands-On Learning","Intermediate (200)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Meetings and Voice
","","","teamwork immersion workshop by softchoice"
"THR3168","Intel IoT Intelligent Edge: Smart retail use case","Customer Success","Partner Led Session","Advanced (300)","Azure	AI + Machine Learning
Azure
Azure	Compute
Azure	Internet of Things
","Philip van de Mortel
","Intel
","intel iot intelligent edge: smart retail use case"
"THR2375","Insight into edge to core data management and analytics","Infrastructure","Partner Led Session","Intermediate (200)","Azure	Media
Azure
Azure	Analytics
Azure	DevOps 
Azure	Management and Governance
Azure	Compute
Azure	Microsoft Azure Stack
Azure	Networking
Azure	AI + Machine Learning
Azure	Developer Tools
Azure	Containers
Azure	Mobile
Azure	Integration
Azure	Blockchain
Azure	Migration
Azure	Mixed Reality
Azure	Storage
Azure	Security
Azure	Databases
Azure	Identity
Azure	Internet of Things
Azure	Web
","Prasad Venkatachar
","Lenovo
","insight into edge to core data management and analytics"
"THR2373","Adding interactivity to your apps with SignalR","Development","Session","Intermediate (200)","Tooling & Languages	Other
Tooling & Languages
","Brady Gaster
","Microsoft
","adding interactivity to your apps with signalr"
"PRE21","Managing and mitigating risk: Understanding and assessing the risks you face so that you can more effectively meet growing compliance requirements","","","","","Atle Skjekkeland
Charisma Starr
Gary Danoys
Sean Sweeney
Rudra Mitra
Malli Vangala
Nomi Nazeer
Hye Jun
Ann Johnson
James Ringold
Dan Menicucci
Joseph Davis
Matthew Stoodley
Steve Vandenberg
Joseph Stumpf
Matt Littleton
Chad Ergun
","Infonate
Exelon Corp
Microsoft
Microsoft
M365 Security and Compliance
Microsoft
Microsoft
Microsoft
CVP, Cybersecurity
Microsoft
Microsoft
Microsoft
Microsoft
Microsoft
Microsoft Corporation
Microsoft
Davis Graham
","managing and mitigating risk: understanding and assessing the risks you face so that you can more effectively meet growing compliance requirements"
"PRE22","Getting started with Microsoft 365","","","","","Tracy Van der Schyff
","The Guid Stuff
","getting started with microsoft 365"
"PRE28","Microsoft Cybersecurity Summit","","","","","Valecia Maclin
Ken Sexsmith
Blythe Price
Homa Hayatyfar
Andrew Harris
Jonathan Trull
Amber Boehm
Jeremiah Grossman
Alex Stamos
Keren Elazari
Betsy Cooper
","Microsoft
Microsoft
Microsoft
Microsoft/DSRE
Microsoft
Microsoft
Microsoft
Bit Discovery and CSS SentinelOne
Adjunct Professor at Stanford’s Freeman-Spogli Institute
k3r3n3.com
Aspen Tech Policy Hub
","microsoft cybersecurity summit"
"BRK1047","EXAM PREP: AZ-900 | Microsoft Azure Fundamentals","Fundamentals","Exam Prep","Foundational (100)","","Tim Warner
","Pluralsight
","exam prep: az-900 | microsoft azure fundamentals"
"THR3034","Twenty minutes to a secure environment","","","Advanced (300)","Microsoft 365	Email and Calendar
Microsoft 365
Microsoft 365	Security Management
","Jeff Guillet
","MVP | MCSM | EXPTA Consulting
","twenty minutes to a secure environment"
"THR1013","Dave Kawula's notes from the field on Azure Stack HCI","","","Foundational (100)","Azure	Storage
Azure
Azure	Microsoft Azure Stack
","Dave Kawula
","Checkyourlogs.net
","dave kawula's notes from the field on azure stack hci"
"UNC1002","Power Platform for the CRM person","","","Foundational (100)","Power Platform	Microsoft Flow
Power Platform
Power Platform	PowerApps
","Joel Lindstrom
Shawn Tabor
Marco Amoedo Martinez
Elaiza Benitez
","Hitachi Solutions
Hitachi Solutions
KPMG
Independent Consultant
","power platform for the crm person"
"THR3037","Moving corporate user data to OneDrive for Business: How hard can it be?","","","Advanced (300)","Microsoft 365	Files and Content
Microsoft 365
Microsoft 365	Device and Application Management
","Raymond Comvalius
","NEXTXPERT
","moving corporate user data to onedrive for business: how hard can it be?"
"THR3001","Applied deep learning: New kind of multimedia content","","","Advanced (300)","Azure	AI + Machine Learning
Azure
Azure	Media
","Gianni Rosa Gallina
","Deltatre
","applied deep learning: new kind of multimedia content"
